                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                 1.2553,                 1.4776,                 1.8497,                 0.9629,                0.85714,                0.96389,                0.72709,                 2.1587,                 1.8085,                 2.9632,              0.0002576,              0.0002576,              0.0002576
                     90,                 1.1455,                 1.4766,                 1.8583,                0.95244,                0.85714,                0.96389,                0.72695,                 2.1423,                 1.7924,                 2.9025,              0.0002378,              0.0002378,              0.0002378
                     91,                0.89196,                 1.8306,                 1.6612,                0.87075,                0.96599,                 0.9775,                0.73506,                 2.1283,                 1.7859,                 2.8506,               0.000218,               0.000218,               0.000218
                     92,                0.89389,                 1.6572,                 1.6767,                0.81501,                      1,                   0.96,                0.73167,                 2.1312,                 1.8254,                 2.7861,              0.0001982,              0.0001982,              0.0001982
                     93,                0.91204,                 1.7364,                 1.6419,                0.85222,                      1,                 0.9425,                 0.7212,                 2.1464,                  1.837,                 2.7736,              0.0001784,              0.0001784,              0.0001784
                     94,                0.88659,                 1.6542,                 1.6596,                0.87469,                0.99756,                 0.9425,                0.71673,                 2.1746,                 1.8512,                 2.7875,              0.0001586,              0.0001586,              0.0001586
                     95,                0.87119,                 1.6242,                 1.7074,                0.87331,                 0.9865,                   0.96,                0.73171,                 2.1983,                 1.8306,                 2.8155,              0.0001388,              0.0001388,              0.0001388
                     96,                0.92902,                 1.7319,                 1.6815,                0.87242,                0.97936,                 0.9775,                0.74225,                 2.2264,                  1.774,                 2.8496,               0.000119,               0.000119,               0.000119
                     97,                0.86252,                 1.6992,                  1.742,                 0.9852,                0.85714,                 0.9775,                0.74229,                 2.2216,                 1.7445,                 2.8538,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.85443,                 1.6501,                 1.6094,                      1,                0.98318,                  0.995,                0.75376,                 2.2167,                  1.726,                 2.8539,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.81334,                 1.6633,                 1.6593,                      1,                0.98505,                  0.995,                0.75373,                 2.2386,                 1.6969,                 2.8662,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.85386,                 1.6631,                 1.7109,                      1,                0.98744,                  0.995,                0.75882,                 2.2204,                 1.6746,                  2.856,               3.98e-05,               3.98e-05,               3.98e-05
